Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
756	-10402.6	-10904.81	502.2058	0.459234	0.260581	0.224932	0.0552532	1.121377	1.124149	6.289548	1.540458
762	-10399.97	-10901.43	501.4649	0.440224	0.356773	0.117984	0.0850185	1.418612	1.124149	6.52136	1.586269
768	-10394.18	-10894.22	500.0406	0.478402	0.252254	0.176953	0.0923916	1.437764	1.076542	7.097679	2.078549
774	-10397.41	-10897.25	499.8323	0.472037	0.145922	0.268844	0.113197	1.230598	0.9900674	7.240764	2.383678
780	-10409.18	-10911.71	502.5276	0.407464	0.237268	0.257557	0.0977119	1.208504	1.136785	6.206445	1.243509
786	-10393.15	-10896.07	502.9161	0.448722	0.278589	0.23337	0.039319	1.018886	1.114153	6.106281	1.245356
792	-10413.93	-10916.04	502.1155	0.381967	0.289364	0.248617	0.0800524	0.8319273	1.120615	6.14078	2.407512
798	-10415.3	-10915.5	500.2033	0.345338	0.435544	0.161545	0.0575729	1.04717	1.088699	7.401388	1.599108
804	-10396.88	-10896.89	500.0034	0.330171	0.416415	0.189483	0.0639319	1.04717	0.9685553	7.495434	1.775941
810	-10410.28	-10911.14	500.8593	0.374182	0.271503	0.264928	0.089387	1.005579	1.043276	7.017839	1.775941
816	-10404.07	-10907.32	503.2537	0.381048	0.276485	0.269789	0.0726787	1.261053	1.227777	5.556823	1.609192
822	-10435.4	-10936.03	500.6321	0.452276	0.265469	0.210529	0.0717255	1.25595	1.086083	6.653421	2.640617
828	-10395.95	-10899.3	503.3474	0.424989	0.281641	0.217276	0.0760947	1.0081	1.213214	5.231298	2.640617
834	-10401.87	-10905.25	503.3785	0.315521	0.438628	0.182082	0.063769	1.093941	1.204157	5.692698	1.388907
840	-10408.12	-10910.22	502.1087	0.419705	0.315719	0.185452	0.0791252	1.063666	1.212279	6.215195	1.785845
846	-10404.51	-10907.29	502.7839	0.362484	0.341975	0.241035	0.0545058	0.9691156	1.071639	6.019017	1.686419
852	-10418.33	-10919.38	501.0503	0.397285	0.279304	0.214913	0.108498	1.349915	1.166183	6.167852	3.148848
858	-10405.14	-10905.84	500.7008	0.399047	0.341142	0.130664	0.129147	1.28679	1.110255	6.60162	2.601281
864	-10406.74	-10907.93	501.1882	0.368527	0.464249	0.11	0.0572233	1.075912	1.110255	6.543407	2.333145
870	-10422.78	-10924.92	502.1425	0.33255	0.433488	0.186622	0.0473395	0.9488751	1.185642	6.543407	1.210404
876	-10409.36	-10911.44	502.0778	0.337038	0.353649	0.25065	0.0586636	0.8014295	1.145833	6.183725	2.356939
882	-10406.9	-10906.96	500.0666	0.400448	0.382975	0.122943	0.0936338	1.084264	1.081291	7.303579	1.963006
888	-10415.57	-10915.81	500.2451	0.409869	0.368458	0.125836	0.0958366	1.082182	0.985186	6.979264	2.718057
894	-10408.07	-10909.5	501.4378	0.409869	0.368458	0.125836	0.0958366	1.231112	1.145112	6.652571	1.508728
900	-10398.25	-10900.94	502.6926	0.4037	0.384501	0.123942	0.0878578	0.9303486	1.145112	5.95715	1.901347
906	-10403.34	-10905.8	502.4584	0.34934	0.443549	0.146471	0.0606398	0.8692898	1.169559	6.261554	1.547278
912	-10400.36	-10902.42	502.0548	0.33261	0.41396	0.205185	0.0482443	0.7733558	1.115014	6.644288	1.377709
918	-10397.65	-10899.13	501.4744	0.332317	0.398181	0.184631	0.0848715	1.037253	1.019982	6.735168	1.653797
924	-10402.21	-10902.3	500.0922	0.392475	0.351032	0.154749	0.101743	1.129094	1.040169	7.279992	1.984067
930	-10401.68	-10902.99	501.3054	0.375933	0.364611	0.167855	0.0916012	1.035467	1.116782	6.552871	2.189075
936	-10407.16	-10908.61	501.4444	0.387543	0.375872	0.142155	0.0944302	1.317786	1.090376	6.552871	1.690742
942	-10399.14	-10899.9	500.7563	0.431455	0.411634	0.0517804	0.10513	1.12663	1.097899	6.80147	2.215669
948	-10423.95	-10926.15	502.1976	0.440317	0.420089	0.00936612	0.130227	1.176914	1.070574	6.349447	1.423139
954	-10405.59	-10907.06	501.4694	0.305891	0.583258	0.00478313	0.106068	1.113543	1.196941	6.349447	2.266291
960	-10408.7	-10910.43	501.7305	0.397954	0.450675	0.00239956	0.148971	1.113543	1.098239	6.349447	2.041476
966	-10414.47	-10916.27	501.8042	0.366873	0.491207	0.00137853	0.140542	1.145099	1.216269	6.228803	2.041476
972	-10405.87	-10906.95	501.0801	0.335743	0.439942	0.0798194	0.144495	0.9605714	1.024232	6.846029	1.985297
978	-10403.72	-10904.87	501.1486	0.454469	0.263686	0.2022	0.0796453	1.295764	0.9965143	6.556314	2.220759
984	-10397.68	-10899.22	501.5405	0.387531	0.324205	0.217897	0.0703666	0.9949924	1.136866	6.725202	1.508451
990	-10399.44	-10900.34	500.8947	0.284717	0.476244	0.187342	0.0516979	0.9721511	1.025157	7.362713	1.068948
996	-10403.92	-10905.43	501.5081	0.329768	0.386198	0.224156	0.0598782	0.8709822	1.090822	6.574491	2.119697
1002	-10401.48	-10903.96	502.4866	0.336061	0.467952	0.0660525	0.129935	1.05707	1.168037	6.131307	1.574706
1008	-10408.43	-10911.28	502.8519	0.367134	0.418756	0.07216	0.141949	1.021352	1.170882	5.948574	1.57748
1014	-10400.78	-10902.95	502.1729	0.333883	0.479821	0.0930189	0.0932764	0.9586375	1.126972	6.33636	1.665597
1020	-10411.22	-10910.87	499.6496	0.558275	0.0847595	0.270055	0.0869109	1.398781	1.058406	6.568448	4.557449
1026	-10394.39	-10894.29	499.9067	0.58062	0.0613454	0.262072	0.0959626	1.366311	1.058358	6.950937	2.800171
1032	-10413.65	-10914.63	500.9738	0.534798	0.102177	0.267933	0.0950931	1.598927	1.035864	6.396316	2.459744
1038	-10410.22	-10910.98	500.7615	0.438544	0.261601	0.21971	0.0801454	1.405494	1.133049	6.563572	2.420017
1044	-10408.62	-10911.19	502.563	0.449835	0.267129	0.200827	0.082209	1.070918	1.185198	5.967647	1.81132
1050	-10428.5	-10929.71	501.2175	0.376358	0.356141	0.190719	0.0767813	0.9865719	1.168313	6.724567	1.877207
1056	-10401.93	-10903.31	501.3736	0.424063	0.285519	0.13158	0.158838	1.217356	1.135652	6.444981	2.101699
1062	-10422.83	-10924.2	501.3648	0.410311	0.350715	0.0957328	0.143242	1.315534	1.100345	6.444981	2.038472
1068	-10414.55	-10915.75	501.1964	0.396908	0.371924	0.0926056	0.138563	1.171796	1.116083	6.444981	2.443219
1074	-10408.14	-10908.72	500.5876	0.38055	0.400632	0.0475916	0.171227	1.133794	1.133693	6.738349	2.571689
1080	-10418.35	-10918	499.6505	0.480987	0.314324	0.0655869	0.139102	1.617875	1.0523	7.115702	2.398899
1086	-10399.15	-10899.45	500.2966	0.472159	0.237292	0.185537	0.105012	1.24712	1.163135	6.674627	3.007031
1092	-10401.73	-10903.19	501.4597	0.515128	0.167881	0.202422	0.114569	1.378638	1.180331	5.968588	3.007031
1098	-10416.58	-10917.14	500.5573	0.540738	0.159014	0.19173	0.108518	1.378638	1.142215	6.060505	4.475145
1104	-10412.54	-10911.95	499.4113	0.549346	0.267804	0.0863742	0.0964756	1.434887	1.062363	7.073148	3.137738
1110	-10410.3	-10910.52	500.217	0.514754	0.242281	0.145977	0.0969873	1.464003	1.105678	6.49345	3.491345
1116	-10407.06	-10906.67	499.6108	0.578099	0.104167	0.163941	0.153793	1.585796	1.140159	6.74625	3.491345
1122	-10397.86	-10896.84	498.9779	0.606848	0.167443	0.119621	0.106088	1.570101	1.057213	6.791038	4.806076
1128	-10419.25	-10917.4	498.1455	0.6465	0.0674764	0.173004	0.11302	1.533924	1.055559	7.296144	4.642368
1134	-10395.34	-10894.7	499.3531	0.522028	0.0668911	0.277438	0.133644	1.374059	1.072323	6.774898	4.391468
1140	-10404.85	-10905.34	500.4906	0.51292	0.156128	0.272597	0.0583557	1.203649	1.007402	6.535664	3.4599
1146	-10401.7	-10901.75	500.0467	0.506998	0.165871	0.26945	0.0576819	1.203649	0.9895792	6.994314	2.796639
1152	-10390.52	-10888.38	497.8657	0.506998	0.165871	0.26945	0.0576819	1.177387	1.038688	7.503011	5.171156
1158	-10380.05	-10879.54	499.4961	0.512857	0.156231	0.272564	0.0583486	1.248863	1.025326	7.456371	2.214427
1164	-10404.09	-10902.77	498.6774	0.590923	0.0317796	0.314053	0.0632448	1.569272	1.03496	7.233189	3.769869
1170	-10395.27	-10896.22	500.9448	0.577131	0.0383447	0.322755	0.0617688	1.114582	1.06873	6.212221	3.769869
1176	-10397.71	-10897.06	499.3491	0.592314	0.0942206	0.263111	0.0503541	1.114582	1.06173	7.099109	3.697976
1182	-10396.76	-10898.62	501.8581	0.527266	0.0882708	0.321759	0.0627046	1.084076	1.088169	6.249006	2.172967
1188	-10401.1	-10901.22	500.1212	0.452097	0.218251	0.275887	0.0537652	1.13505	1.055773	6.765344	3.390157
1194	-10401.53	-10901.9	500.3691	0.501126	0.24192	0.164925	0.0920294	1.287799	1.045523	6.617167	3.200912
1200	-10394.65	-10895.88	501.2271	0.464733	0.255185	0.222461	0.0576214	0.9748087	1.159697	6.456609	2.58977
1206	-10385.94	-10887.09	501.1471	0.438927	0.296543	0.210108	0.0544217	1.195323	1.189592	6.367074	2.58977
1212	-10400.84	-10901.44	500.6005	0.497862	0.20209	0.238319	0.0617289	1.195323	1.078429	6.72916	2.572808
1218	-10417.24	-10916.89	499.6446	0.53377	0.136966	0.255508	0.0737559	1.348877	1.02816	6.921394	3.418496
1224	-10397.37	-10896.45	499.0802	0.606326	0.0844774	0.225415	0.0837816	1.595322	1.017925	7.229003	3.049008
1230	-10424.71	-10924.21	499.4982	0.607614	0.00210648	0.27913	0.111149	1.332633	1.032041	7.094226	3.130177
1236	-10408.26	-10909.84	501.5766	0.61075	0.00611051	0.271417	0.111723	1.535013	1.220372	5.756362	3.167958
1242	-10401.73	-10901.21	499.4778	0.613107	0.00227533	0.272464	0.112154	1.623672	1.114747	6.600951	4.264248
1248	-10424.09	-10923.56	499.4729	0.64397	0.00184237	0.220619	0.133569	1.767062	1.109217	6.511612	4.386912
1254	-10423.47	-10922.43	498.9622	0.644072	0.00103119	0.221061	0.133836	1.767062	1.085154	6.786603	4.442586
1260	-10393.11	-10894.27	501.1645	0.479606	0.205007	0.207884	0.107503	1.31099	1.077594	6.169057	3.161883
1266	-10392.36	-10893.63	501.2677	0.473245	0.182497	0.248558	0.0956996	1.209075	1.026999	6.56248	2.109079
1272	-10371.2	-10871.9	500.7034	0.408049	0.29896	0.235103	0.0578886	0.9895388	1.0449	7.090349	1.820865
1278	-10389.7	-10890.05	500.3418	0.392913	0.306604	0.241114	0.0593688	1.181431	1.050866	7.199184	1.777857
1284	-10387.12	-10889.75	502.631	0.339721	0.333468	0.26224	0.0645706	0.8993947	1.098147	6.155468	1.622078
1290	-10406.44	-10909.32	502.8785	0.370807	0.326504	0.216537	0.0861526	0.9109082	1.096896	5.785264	2.165214
1296	-10398.18	-10898.45	500.2727	0.483461	0.187329	0.282323	0.0468867	1.132095	1.016619	7.138764	2.123096
1302	-10403.33	-10903.11	499.7812	0.508282	0.113247	0.329176	0.0492939	1.440179	1.016619	7.101559	2.52279
1308	-10405.45	-10907.13	501.6844	0.508282	0.113247	0.329176	0.0492939	1.291806	1.077843	6.203902	2.271898
1314	-10424.2	-10924.74	500.5427	0.436027	0.282244	0.242363	0.0393666	1.205482	1.032703	7.054732	1.857995
1320	-10426.98	-10927.95	500.9766	0.431689	0.199622	0.312399	0.0562905	1.29144	1.067237	6.912166	1.511451
